id,escenario,nivel,fraccion,variante,algoritmo,arranque,replica,semilla,presupuesto_ms,commit,estado,minuto_final,pedidos_base,pedidos_instancia,pedidos_registrados,pedidos_entregados,pedidos_incumplidos,pedidos_pendientes,pct_cumplimiento,minuto_primer_incumplido,paquetes_entregados,costo_total,km_total,costo_por_pedido,llamadas,llamadas_fuera_presupuesto,ms_mediana,ms_p90,ms_max,v1_invalidas,v2_incoherentes,saturacion_almacenes_pct,tiempo_pared_s,validez,pct_llamadas_en_presupuesto,minuto_primer_incumplido_c,censurado,sin_incumplidos
5D_N2_ALNS-F_r01,5D,N2,0.5,ALNS-F,ALNS,constructivo,1,20260901,2000,539370b,CULMINADA,7200,1963,996,996,982,0,14,100.0,-1,4022,91056.0,15593,92.725,266,0,1950.115,1950.312,1953.455,0,0,27.0,507.896,True,100.0,7200,True,True
5D_N2_ALNS-F_r02,5D,N2,0.5,ALNS-F,ALNS,constructivo,2,20260902,2000,539370b,CULMINADA,7200,1963,1048,1048,1034,1,13,99.903,4250,4112,93973.0,16328,90.883,266,0,1950.121,1950.395,1954.181,0,0,35.5,509.879,True,100.0,4250,False,False
5D_N2_ALNS-F_r03,5D,N2,0.5,ALNS-F,ALNS,constructivo,3,20260903,2000,539370b,CULMINADA,7200,1963,984,984,975,0,9,100.0,-1,3941,92811.0,15999,95.191,266,0,1950.133,1950.592,1954.65,0,0,31.0,510.011,True,100.0,7200,True,True
5D_N2_ALNS-F_r04,5D,N2,0.5,ALNS-F,ALNS,constructivo,4,20260904,2000,539370b,CULMINADA,7200,1963,1004,1004,992,1,11,99.899,4250,3904,91359.0,15776,92.096,266,0,1950.129,1950.469,1953.444,0,0,28.7,506.072,True,100.0,4250,False,False
5D_N2_ALNS-F_r05,5D,N2,0.5,ALNS-F,ALNS,constructivo,5,20260905,2000,539370b,CULMINADA,7200,1963,987,987,977,1,9,99.898,4250,4079,90665.0,15556,92.799,266,0,1950.118,1950.37,1953.32,0,0,29.6,505.92,True,100.0,4250,False,False
5D_N2_ALNS-F_r06,5D,N2,0.5,ALNS-F,ALNS,constructivo,6,20260906,2000,539370b,CULMINADA,7200,1963,978,978,967,1,10,99.897,5506,3877,90664.0,15552,93.758,266,0,1950.133,1950.415,1954.737,0,0,32.6,509.95,True,100.0,5506,False,False
5D_N2_ALNS-F_r07,5D,N2,0.5,ALNS-F,ALNS,constructivo,7,20260907,2000,539370b,CULMINADA,7200,1963,972,972,962,1,9,99.896,897,3960,90147.0,15426,93.708,266,0,1950.135,1950.456,1955.818,0,0,29.8,500.228,True,100.0,897,False,False
5D_N2_ALNS-F_r08,5D,N2,0.5,ALNS-F,ALNS,constructivo,8,20260908,2000,539370b,CULMINADA,7200,1963,980,980,967,1,12,99.897,4250,4063,87930.0,15167,90.931,266,0,1950.13,1950.445,1954.675,0,0,34.3,500.247,True,100.0,4250,False,False
5D_N2_ALNS-F_r09,5D,N2,0.5,ALNS-F,ALNS,constructivo,9,20260909,2000,539370b,CULMINADA,7200,1963,974,974,964,1,9,99.896,6702,3716,89646.0,15300,92.994,266,0,1950.108,1950.365,1955.946,0,0,30.5,500.084,True,100.0,6702,False,False
5D_N2_ALNS-F_r10,5D,N2,0.5,ALNS-F,ALNS,constructivo,10,20260910,2000,539370b,CULMINADA,7200,1963,972,972,963,1,8,99.896,5563,4100,93681.0,15971,97.28,266,0,1950.128,1950.416,1956.174,0,0,30.8,504.122,True,100.0,5563,False,False
5D_N2_HGS_r01,5D,N2,0.5,HGS,HGS,constructivo,1,20260901,2000,539370b,CULMINADA,7200,1963,996,996,981,0,15,100.0,-1,4013,94241.0,15679,96.066,266,0,1950.128,1950.44,1951.738,0,0,27.4,508.043,True,100.0,7200,True,True
5D_N2_HGS_r02,5D,N2,0.5,HGS,HGS,constructivo,2,20260902,2000,539370b,CULMINADA,7200,1963,1048,1048,1036,1,11,99.904,798,4155,101937.0,16795,98.395,266,0,1950.133,1950.427,1951.023,0,0,42.0,510.0,True,100.0,798,False,False
5D_N2_HGS_r03,5D,N2,0.5,HGS,HGS,constructivo,3,20260903,2000,539370b,CULMINADA,7200,1963,984,984,975,0,9,100.0,-1,3948,93989.0,15426,96.399,266,0,1950.117,1950.453,1951.551,0,0,30.5,509.956,True,100.0,7200,True,True
5D_N2_HGS_r04,5D,N2,0.5,HGS,HGS,constructivo,4,20260904,2000,45890e5,CULMINADA,7200,1963,1004,1004,991,1,12,99.899,6702,3943,95123.0,15839,95.987,266,0,1950.119,1950.392,1951.733,0,0,32.8,504.106,True,100.0,6702,False,False
5D_N2_HGS_r05,5D,N2,0.5,HGS,HGS,constructivo,5,20260905,2000,539370b,CULMINADA,7200,1963,987,987,976,0,11,100.0,-1,4100,98166.0,16030,100.58,266,0,1950.115,1950.373,1951.303,0,0,33.4,506.061,True,100.0,7200,True,True
5D_N2_HGS_r06,5D,N2,0.5,HGS,HGS,constructivo,6,20260906,2000,539370b,CULMINADA,7200,1963,978,978,966,4,8,99.588,2506,3867,90723.0,15110,93.916,266,0,1950.141,1950.4,1954.537,0,0,31.2,510.004,True,100.0,2506,False,False
5D_N2_HGS_r07,5D,N2,0.5,HGS,HGS,constructivo,7,20260907,2000,539370b,CULMINADA,7200,1963,972,972,957,1,14,99.896,840,3938,91202.0,15135,95.3,266,0,1950.102,1950.375,1950.912,0,0,35.5,502.019,True,100.0,840,False,False
5D_N2_HGS_r08,5D,N2,0.5,HGS,HGS,constructivo,8,20260908,2000,539370b,CULMINADA,7200,1963,980,980,965,0,15,100.0,-1,4069,91369.0,14823,94.683,266,0,1950.13,1950.424,1951.95,0,0,32.9,500.196,True,100.0,7200,True,True
5D_N2_HGS_r09,5D,N2,0.5,HGS,HGS,constructivo,9,20260909,2000,539370b,CULMINADA,7200,1963,974,974,967,1,6,99.897,6702,3730,93053.0,15274,96.229,266,0,1950.1,1950.354,1952.101,0,0,27.8,500.09,True,100.0,6702,False,False
5D_N2_HGS_r10,5D,N2,0.5,HGS,HGS,constructivo,10,20260910,2000,539370b,CULMINADA,7200,1963,972,972,962,0,10,100.0,-1,4101,97330.0,15769,101.175,266,0,1950.138,1950.428,1951.905,0,0,33.1,504.121,True,100.0,7200,True,True
5D_N3_ALNS-C_r01,5D,N3,0.75,ALNS-C,ALNS,calido,1,20260901,2000,539370b,CULMINADA,7200,1963,1474,1474,1438,3,33,99.792,897,5703,115423.0,19620,80.266,266,0,1950.135,1950.435,1955.85,0,0,47.8,510.086,True,100.0,897,False,False
5D_N3_ALNS-C_r02,5D,N3,0.75,ALNS-C,ALNS,calido,2,20260902,2000,539370b,CULMINADA,7200,1963,1512,1512,1482,5,25,99.664,798,5933,119571.0,20425,80.682,266,0,1950.152,1950.493,1954.281,0,0,50.2,510.245,True,100.0,798,False,False
5D_N3_ALNS-C_r03,5D,N3,0.75,ALNS-C,ALNS,calido,3,20260903,2000,539370b,CULMINADA,7200,1963,1486,1486,1454,3,29,99.794,897,5809,118176.0,20248,81.276,266,0,1950.151,1950.528,1955.068,0,0,48.9,510.3,True,100.0,897,False,False
5D_N3_ALNS-C_r04,5D,N3,0.75,ALNS-C,ALNS,calido,4,20260904,2000,539370b,CULMINADA,7200,1963,1491,1491,1456,3,32,99.794,4250,5522,116049.0,20207,79.704,266,0,1950.144,1950.395,1952.713,0,0,38.3,506.2,True,100.0,4250,False,False
5D_N3_ALNS-C_r05,5D,N3,0.75,ALNS-C,ALNS,calido,5,20260905,2000,539370b,CULMINADA,7200,1963,1451,1451,1417,4,30,99.719,798,5584,116756.0,20018,82.397,266,0,1950.158,1950.527,1953.493,0,0,42.2,508.297,True,100.0,798,False,False
5D_N3_ALNS-C_r06,5D,N3,0.75,ALNS-C,ALNS,calido,6,20260906,2000,539370b,CULMINADA,7200,1963,1504,1504,1480,2,22,99.865,1398,5961,123776.0,21132,83.632,266,0,1950.14,1950.476,1953.679,0,0,43.8,510.105,True,100.0,1398,False,False
5D_N3_ALNS-C_r07,5D,N3,0.75,ALNS-C,ALNS,calido,7,20260907,2000,539370b,CULMINADA,7200,1963,1476,1476,1449,0,27,100.0,-1,5818,120929.0,20681,83.457,266,0,1950.14,1950.409,1954.89,0,0,39.2,510.115,True,100.0,7200,True,True
